link,job,company,salary,area,experience,education,companytype,direction
https://jobs.51job.com/shantou-lhq/137917882.html?s=sou_sou_soulb&t=0_0,娱乐主播,汕头市热度传媒有限公司,0.8-1万,汕头-龙湖区,无需经验,无学历要求,创业公司,娱乐/休闲/体育
https://jobs.51job.com/shantou/142962764.html?s=sou_sou_soulb&t=0_0,抖音主播,汕头市恒田网络科技有限公司,4-8千,汕头,1年经验,中技/中专,民营,互联网/电子商务
https://jobs.51job.com/wenzhou-lcq/144424829.html?s=sou_sou_soulb&t=0_0,主播,浙江东日股份有限公司,6千-1万,温州-鹿城区,无需经验,大专,已上市,多元化业务集团公司
https://jobs.51job.com/nanjing-jnq/144359370.html?s=sou_sou_soulb&t=0_0,语音主播不露脸 弹性工作 待遇佳,南京众赢益通网络科技有限公司,8千-1万,南京-江宁区,无需经验,无学历要求,民营,计算机软件
https://jobs.51job.com/hangzhou-scq/140186851.html?s=sou_sou_soulb&t=0_0,抖音短视频博主/主播,上海联和金融信息服务有限公司,8千-1万,杭州-上城区,无需经验,无学历要求,国企,金融/投资/证券
https://jobs.51job.com/hangzhou-yhq/136233566.html?s=sou_sou_soulb&t=0_0,电商主播,上海明月眼镜有限公司,1.5-2万,杭州-余杭区,1年经验,大专,已上市,多元化业务集团公司
https://jobs.51job.com/guangzhou-thq/142085606.html?s=sou_sou_soulb&t=0_0,抖音主播,广东信源文化科技有限公司,8千-1万,广州-天河区,无需经验,大专,国企,印刷/包装/造纸
https://jobs.51job.com/nanjing-jnq/144359384.html?s=sou_sou_soulb&t=0_0,语音主播不露脸 弹性工作 待遇佳,南京众赢益通网络科技有限公司,8千-1万,南京-江宁区,无需经验,无学历要求,民营,计算机软件
https://jobs.51job.com/guangzhou-hdq/143791037.html?s=sou_sou_soulb&t=0_0,主播,广州香希生物科技有限公司,8千-1万,广州-花都区,1年经验,大专,民营,互联网/电子商务
https://jobs.51job.com/nanjing-jnq/144359411.html?s=sou_sou_soulb&t=0_0,语音主播不露脸 弹性工作 待遇佳,南京众赢益通网络科技有限公司,8千-1万,南京-江宁区,无需经验,无学历要求,民营,计算机软件
https://jobs.51job.com/shanghai-qpq/125539741.html?s=sou_sou_soulb&t=0_0,主播,北欧欧慕家庭电器（上海）有限公司,8千-1.5万,上海-青浦区,1年经验,大专,外资（欧美）,家具/家电/玩具/礼品
https://jobs.51job.com/guangzhou/144309651.html?s=sou_sou_soulb&t=0_0,线上语音主播/配音/不露脸,河北云昭网络科技有限公司,1-1.2万,广州,无需经验,无学历要求,民营,影视/媒体/艺术/文化传播
https://jobs.51job.com/kunming/135180827.html?s=sou_sou_soulb&t=0_0,汽车销售主播,云南德凯宝马汽车技术服务有限公司,1-2万,昆明,1年经验,大专,合资,汽车
